GEOID,NAME,variable,estimate,moe,Year
13001,"Appling County, Georgia",B01003_001,18509,NA,2021
13003,"Atkinson County, Georgia",B01003_001,8269,NA,2021
13005,"Bacon County, Georgia",B01003_001,11163,NA,2021
13007,"Baker County, Georgia",B01003_001,2928,NA,2021
13009,"Baldwin County, Georgia",B01003_001,43876,NA,2021
13011,"Banks County, Georgia",B01003_001,18061,NA,2021
13013,"Barrow County, Georgia",B01003_001,82138,NA,2021
13015,"Bartow County, Georgia",B01003_001,107868,NA,2021
13017,"Ben Hill County, Georgia",B01003_001,17237,NA,2021
13019,"Berrien County, Georgia",B01003_001,18195,NA,2021
13021,"Bibb County, Georgia",B01003_001,156711,NA,2021
13023,"Bleckley County, Georgia",B01003_001,12562,NA,2021
13025,"Brantley County, Georgia",B01003_001,18072,NA,2021
13027,"Brooks County, Georgia",B01003_001,16254,NA,2021
13029,"Bryan County, Georgia",B01003_001,43278,NA,2021
13031,"Bulloch County, Georgia",B01003_001,79635,NA,2021
13033,"Burke County, Georgia",B01003_001,24231,NA,2021
13035,"Butts County, Georgia",B01003_001,24950,NA,2021
13037,"Calhoun County, Georgia",B01003_001,5668,NA,2021
13039,"Camden County, Georgia",B01003_001,54256,NA,2021
13043,"Candler County, Georgia",B01003_001,10885,NA,2021
13045,"Carroll County, Georgia",B01003_001,118402,NA,2021
13047,"Catoosa County, Georgia",B01003_001,67579,NA,2021
13049,"Charlton County, Georgia",B01003_001,12416,NA,2021
13051,"Chatham County, Georgia",B01003_001,294815,NA,2021
13053,"Chattahoochee County, Georgia",B01003_001,9533,NA,2021
13055,"Chattooga County, Georgia",B01003_001,24898,NA,2021
13057,"Cherokee County, Georgia",B01003_001,262155,NA,2021
13059,"Clarke County, Georgia",B01003_001,128195,NA,2021
13061,"Clay County, Georgia",B01003_001,2883,NA,2021
13063,"Clayton County, Georgia",B01003_001,294335,NA,2021
13065,"Clinch County, Georgia",B01003_001,6737,NA,2021
13067,"Cobb County, Georgia",B01003_001,762500,NA,2021
