Smoothing,Measure,E,Test,value
Obs,Sens,0.5,Turnbull (1990),0.36666666666666664
Obs,Sens,0.5,Besag-Newell (1991),0.2714285714285714
Obs,Sens,0.5,Kulldorff (1997),0.319047619047619
Obs,Sens,1,Turnbull (1990),0.6428571428571428
Obs,Sens,1,Besag-Newell (1991),0.5428571428571428
Obs,Sens,1,Kulldorff (1997),0.7142857142857143
Obs,Sens,1.5,Turnbull (1990),0.7142857142857143
Obs,Sens,1.5,Besag-Newell (1991),0.6428571428571428
Obs,Sens,1.5,Kulldorff (1997),0.8238095238095238
Obs,Sens,2,Turnbull (1990),0.6904761904761905
Obs,Sens,2,Besag-Newell (1991),0.6666666666666666
Obs,Sens,2,Kulldorff (1997),0.819047619047619
Adj,Sens,0.5,Turnbull (1990),0.09999999999999999
Adj,Sens,0.5,Besag-Newell (1991),0.17619047619047618
Adj,Sens,0.5,Kulldorff (1997),0.05714285714285714
Adj,Sens,1,Turnbull (1990),0.4523809523809524
Adj,Sens,1,Besag-Newell (1991),0.4238095238095238
Adj,Sens,1,Kulldorff (1997),0.3333333333333333
Adj,Sens,1.5,Turnbull (1990),0.6047619047619047
Adj,Sens,1.5,Besag-Newell (1991),0.5380952380952381
Adj,Sens,1.5,Kulldorff (1997),0.49523809523809526
Adj,Sens,2,Turnbull (1990),0.7095238095238094
Adj,Sens,2,Besag-Newell (1991),0.5285714285714286
Adj,Sens,2,Kulldorff (1997),0.5952380952380952
ID,Sens,0.5,Turnbull (1990),0.09999999999999999
ID,Sens,0.5,Besag-Newell (1991),0.17142857142857143
ID,Sens,0.5,Kulldorff (1997),0.05714285714285714
ID,Sens,1,Turnbull (1990),0.4619047619047619
ID,Sens,1,Besag-Newell (1991),0.419047619047619
ID,Sens,1,Kulldorff (1997),0.35714285714285715
ID,Sens,1.5,Turnbull (1990),0.6095238095238095
ID,Sens,1.5,Besag-Newell (1991),0.5619047619047619
ID,Sens,1.5,Kulldorff (1997),0.5047619047619047
ID,Sens,2,Turnbull (1990),0.6904761904761905
ID,Sens,2,Besag-Newell (1991),0.5428571428571428
ID,Sens,2,Kulldorff (1997),0.5904761904761905
BYM,Sens,0.5,Turnbull (1990),0.019047619047619046
BYM,Sens,0.5,Besag-Newell (1991),0.0047619047619047615
BYM,Sens,0.5,Kulldorff (1997),0.014285714285714285
BYM,Sens,1,Turnbull (1990),0.48095238095238096
BYM,Sens,1,Besag-Newell (1991),0.3857142857142857
BYM,Sens,1,Kulldorff (1997),0.4238095238095238
BYM,Sens,1.5,Turnbull (1990),0.6571428571428571
BYM,Sens,1.5,Besag-Newell (1991),0.5761904761904761
BYM,Sens,1.5,Kulldorff (1997),0.5809523809523809
BYM,Sens,2,Turnbull (1990),0.680952380952381
BYM,Sens,2,Besag-Newell (1991),0.5761904761904761
BYM,Sens,2,Kulldorff (1997),0.6666666666666666
Obs,Spec,0.5,Turnbull (1990),0.9173913043478261
Obs,Spec,0.5,Besag-Newell (1991),0.9746376811594203
Obs,Spec,0.5,Kulldorff (1997),0.9731884057971014
Obs,Spec,1,Turnbull (1990),0.8659420289855073
Obs,Spec,1,Besag-Newell (1991),0.9608695652173913
Obs,Spec,1,Kulldorff (1997),0.9797101449275363
Obs,Spec,1.5,Turnbull (1990),0.863768115942029
Obs,Spec,1.5,Besag-Newell (1991),0.9666666666666667
Obs,Spec,1.5,Kulldorff (1997),0.9753623188405797
Obs,Spec,2,Turnbull (1990),0.8565217391304348
Obs,Spec,2,Besag-Newell (1991),0.9478260869565217
Obs,Spec,2,Kulldorff (1997),0.981159420289855
Adj,Spec,0.5,Turnbull (1990),0.9478260869565217
Adj,Spec,0.5,Besag-Newell (1991),0.9905797101449275
Adj,Spec,0.5,Kulldorff (1997),0.9826086956521739
Adj,Spec,1,Turnbull (1990),0.9181159420289855
Adj,Spec,1,Besag-Newell (1991),0.9782608695652174
Adj,Spec,1,Kulldorff (1997),0.9702898550724638
Adj,Spec,1.5,Turnbull (1990),0.8891304347826087
Adj,Spec,1.5,Besag-Newell (1991),0.9586956521739131
Adj,Spec,1.5,Kulldorff (1997),0.9753623188405797
Adj,Spec,2,Turnbull (1990),0.8789855072463768
Adj,Spec,2,Besag-Newell (1991),0.9572463768115942
Adj,Spec,2,Kulldorff (1997),0.9804347826086957
ID,Spec,0.5,Turnbull (1990),0.9478260869565217
ID,Spec,0.5,Besag-Newell (1991),0.9905797101449275
ID,Spec,0.5,Kulldorff (1997),0.9818840579710145
ID,Spec,1,Turnbull (1990),0.9036231884057971
ID,Spec,1,Besag-Newell (1991),0.981159420289855
ID,Spec,1,Kulldorff (1997),0.9717391304347827
ID,Spec,1.5,Turnbull (1990),0.8818840579710145
ID,Spec,1.5,Besag-Newell (1991),0.9586956521739131
ID,Spec,1.5,Kulldorff (1997),0.9789855072463768
ID,Spec,2,Turnbull (1990),0.8760869565217392
ID,Spec,2,Besag-Newell (1991),0.9572463768115942
ID,Spec,2,Kulldorff (1997),0.981159420289855
BYM,Spec,0.5,Turnbull (1990),0.9927536231884058
BYM,Spec,0.5,Besag-Newell (1991),1
BYM,Spec,0.5,Kulldorff (1997),1
BYM,Spec,1,Turnbull (1990),0.9
BYM,Spec,1,Besag-Newell (1991),0.9746376811594203
BYM,Spec,1,Kulldorff (1997),0.994927536231884
BYM,Spec,1.5,Turnbull (1990),0.8789855072463768
BYM,Spec,1.5,Besag-Newell (1991),0.9717391304347827
BYM,Spec,1.5,Kulldorff (1997),0.9985507246376811
BYM,Spec,2,Turnbull (1990),0.8731884057971014
BYM,Spec,2,Besag-Newell (1991),0.967391304347826
BYM,Spec,2,Kulldorff (1997),0.9920289855072464
Obs,PPV,0.5,Turnbull (1990),0.4370959595959596
Obs,PPV,0.5,Besag-Newell (1991),0.6517261904761905
Obs,PPV,0.5,Kulldorff (1997),NA
Obs,PPV,1,Turnbull (1990),0.4243029837073873
Obs,PPV,1,Besag-Newell (1991),0.7163768395347343
Obs,PPV,1,Kulldorff (1997),0.8697100541208093
Obs,PPV,1.5,Turnbull (1990),0.4437489341909514
Obs,PPV,1.5,Besag-Newell (1991),0.7905572808833679
Obs,PPV,1.5,Kulldorff (1997),0.8481879088366503
Obs,PPV,2,Turnbull (1990),0.42852120750318917
Obs,PPV,2,Besag-Newell (1991),0.6602780213049092
Obs,PPV,2,Kulldorff (1997),0.8744774772870748
Adj,PPV,0.5,Turnbull (1990),NA
Adj,PPV,0.5,Besag-Newell (1991),NA
Adj,PPV,0.5,Kulldorff (1997),NA
Adj,PPV,1,Turnbull (1990),0.47241064083342943
Adj,PPV,1,Besag-Newell (1991),0.7694483294483294
Adj,PPV,1,Kulldorff (1997),NA
Adj,PPV,1.5,Turnbull (1990),0.4616623143665097
Adj,PPV,1.5,Besag-Newell (1991),0.694587973945559
Adj,PPV,1.5,Kulldorff (1997),0.7654137039431157
Adj,PPV,2,Turnbull (1990),0.47641313588372414
Adj,PPV,2,Besag-Newell (1991),0.6763591375944317
Adj,PPV,2,Kulldorff (1997),0.8287912706488558
ID,PPV,0.5,Turnbull (1990),NA
ID,PPV,0.5,Besag-Newell (1991),NA
ID,PPV,0.5,Kulldorff (1997),NA
ID,PPV,1,Turnbull (1990),0.4159448373767793
ID,PPV,1,Besag-Newell (1991),0.7980028223410577
ID,PPV,1,Kulldorff (1997),0.7139588744588745
ID,PPV,1.5,Turnbull (1990),0.44629118304984594
ID,PPV,1.5,Besag-Newell (1991),0.6921091163738222
ID,PPV,1.5,Kulldorff (1997),0.8056938159879337
ID,PPV,2,Turnbull (1990),0.4624533657687816
ID,PPV,2,Besag-Newell (1991),0.6771301365174363
ID,PPV,2,Kulldorff (1997),0.854335316100022
BYM,PPV,0.5,Turnbull (1990),NA
BYM,PPV,0.5,Besag-Newell (1991),NA
BYM,PPV,0.5,Kulldorff (1997),NA
BYM,PPV,1,Turnbull (1990),0.41535144715081485
BYM,PPV,1,Besag-Newell (1991),0.7655602575958613
BYM,PPV,1,Kulldorff (1997),0.9575630252100841
BYM,PPV,1.5,Turnbull (1990),0.45093275376161446
BYM,PPV,1.5,Besag-Newell (1991),0.7794734613212875
BYM,PPV,1.5,Kulldorff (1997),0.9860576923076924
BYM,PPV,2,Turnbull (1990),0.45283670276287663
BYM,PPV,2,Besag-Newell (1991),0.7563013047324193
BYM,PPV,2,Kulldorff (1997),0.9413449622273151
