Smoothing,Measure,E,Test,value
Obs,Sens,0.5,Turnbull (1990),0.202
Obs,Sens,0.5,Besag-Newell (1991),0.4053333333333333
Obs,Sens,0.5,Kulldorff (1997),0.18133333333333332
Obs,Sens,1,Turnbull (1990),0.5106666666666666
Obs,Sens,1,Besag-Newell (1991),0.6113333333333333
Obs,Sens,1,Kulldorff (1997),0.632
Obs,Sens,1.5,Turnbull (1990),0.758
Obs,Sens,1.5,Besag-Newell (1991),0.7693333333333333
Obs,Sens,1.5,Kulldorff (1997),0.8413333333333334
Obs,Sens,2,Turnbull (1990),0.9186666666666666
Obs,Sens,2,Besag-Newell (1991),0.7626666666666667
Obs,Sens,2,Kulldorff (1997),0.9053333333333333
Adj,Sens,0.5,Turnbull (1990),0.12733333333333333
Adj,Sens,0.5,Besag-Newell (1991),0.24200000000000002
Adj,Sens,0.5,Kulldorff (1997),0.07466666666666666
Adj,Sens,1,Turnbull (1990),0.444
Adj,Sens,1,Besag-Newell (1991),0.49533333333333335
Adj,Sens,1,Kulldorff (1997),0.306
Adj,Sens,1.5,Turnbull (1990),0.6986666666666667
Adj,Sens,1.5,Besag-Newell (1991),0.6906666666666667
Adj,Sens,1.5,Kulldorff (1997),0.604
Adj,Sens,2,Turnbull (1990),0.858
Adj,Sens,2,Besag-Newell (1991),0.7533333333333333
Adj,Sens,2,Kulldorff (1997),0.8
ID,Sens,0.5,Turnbull (1990),0.128
ID,Sens,0.5,Besag-Newell (1991),0.246
ID,Sens,0.5,Kulldorff (1997),0.078
ID,Sens,1,Turnbull (1990),0.434
ID,Sens,1,Besag-Newell (1991),0.4686666666666667
ID,Sens,1,Kulldorff (1997),0.31666666666666665
ID,Sens,1.5,Turnbull (1990),0.6966666666666667
ID,Sens,1.5,Besag-Newell (1991),0.698
ID,Sens,1.5,Kulldorff (1997),0.5986666666666667
ID,Sens,2,Turnbull (1990),0.838
ID,Sens,2,Besag-Newell (1991),0.7493333333333333
ID,Sens,2,Kulldorff (1997),0.8013333333333333
BYM,Sens,0.5,Turnbull (1990),0.009999999999999993
BYM,Sens,0.5,Besag-Newell (1991),0.002666666666666668
BYM,Sens,0.5,Kulldorff (1997),0
BYM,Sens,1,Turnbull (1990),0.24
BYM,Sens,1,Besag-Newell (1991),0.14533333333333334
BYM,Sens,1,Kulldorff (1997),0.16666666666666666
BYM,Sens,1.5,Turnbull (1990),0.3613333333333333
BYM,Sens,1.5,Besag-Newell (1991),0.6073333333333333
BYM,Sens,1.5,Kulldorff (1997),0.29333333333333333
BYM,Sens,2,Turnbull (1990),0.6493333333333333
BYM,Sens,2,Besag-Newell (1991),0.7326666666666667
BYM,Sens,2,Kulldorff (1997),0.6306666666666667
Obs,Spec,0.5,Turnbull (1990),0.9848611111111111
Obs,Spec,0.5,Besag-Newell (1991),0.9466666666666667
Obs,Spec,0.5,Kulldorff (1997),0.9918055555555556
Obs,Spec,1,Turnbull (1990),0.9625694444444445
Obs,Spec,1,Besag-Newell (1991),0.9456944444444445
Obs,Spec,1,Kulldorff (1997),0.9894444444444445
Obs,Spec,1.5,Turnbull (1990),0.9325694444444445
Obs,Spec,1.5,Besag-Newell (1991),0.9540972222222223
Obs,Spec,1.5,Kulldorff (1997),0.9911805555555556
Obs,Spec,2,Turnbull (1990),0.9063888888888889
