Smoothing,Measure,E,Test,value
Obs,Sens,0.5,Turnbull (1990),0.44285714285714284
Obs,Sens,0.5,Besag-Newell (1991),0
Obs,Sens,0.5,Kulldorff (1997),0.37857142857142856
Obs,Sens,1,Turnbull (1990),0.6857142857142857
Obs,Sens,1,Besag-Newell (1991),0
Obs,Sens,1,Kulldorff (1997),0.6357142857142857
Obs,Sens,1.5,Turnbull (1990),0.6857142857142857
Obs,Sens,1.5,Besag-Newell (1991),0
Obs,Sens,1.5,Kulldorff (1997),0.65
Obs,Sens,2,Turnbull (1990),0.7142857142857143
Obs,Sens,2,Besag-Newell (1991),0.02142857142857143
Obs,Sens,2,Kulldorff (1997),0.7357142857142858
Adj,Sens,0.5,Turnbull (1990),0.36428571428571427
Adj,Sens,0.5,Besag-Newell (1991),0
Adj,Sens,0.5,Kulldorff (1997),0.08571428571428572
Adj,Sens,1,Turnbull (1990),0.6714285714285714
Adj,Sens,1,Besag-Newell (1991),0
Adj,Sens,1,Kulldorff (1997),0.3214285714285714
Adj,Sens,1.5,Turnbull (1990),0.7642857142857142
Adj,Sens,1.5,Besag-Newell (1991),0
Adj,Sens,1.5,Kulldorff (1997),0.6714285714285715
Adj,Sens,2,Turnbull (1990),0.7999999999999999
Adj,Sens,2,Besag-Newell (1991),0
Adj,Sens,2,Kulldorff (1997),0.7285714285714285
ID,Sens,0.5,Turnbull (1990),0.37857142857142856
ID,Sens,0.5,Besag-Newell (1991),0
ID,Sens,0.5,Kulldorff (1997),0.12857142857142856
ID,Sens,1,Turnbull (1990),0.7
ID,Sens,1,Besag-Newell (1991),0
ID,Sens,1,Kulldorff (1997),0.4
ID,Sens,1.5,Turnbull (1990),0.7071428571428572
ID,Sens,1.5,Besag-Newell (1991),0
ID,Sens,1.5,Kulldorff (1997),0.65
ID,Sens,2,Turnbull (1990),0.7571428571428571
ID,Sens,2,Besag-Newell (1991),0
ID,Sens,2,Kulldorff (1997),0.6714285714285715
BYM,Sens,0.5,Turnbull (1990),0.03571428571428571
BYM,Sens,0.5,Besag-Newell (1991),0
BYM,Sens,0.5,Kulldorff (1997),0.03571428571428571
BYM,Sens,1,Turnbull (1990),0.55
BYM,Sens,1,Besag-Newell (1991),0
BYM,Sens,1,Kulldorff (1997),0.38571428571428573
BYM,Sens,1.5,Turnbull (1990),0.7
BYM,Sens,1.5,Besag-Newell (1991),0
BYM,Sens,1.5,Kulldorff (1997),0.5642857142857143
BYM,Sens,2,Turnbull (1990),0.7142857142857143
BYM,Sens,2,Besag-Newell (1991),0
BYM,Sens,2,Kulldorff (1997),0.6142857142857143
Obs,Spec,0.5,Turnbull (1990),0.9648275862068966
Obs,Spec,0.5,Besag-Newell (1991),1
Obs,Spec,0.5,Kulldorff (1997),0.9827586206896551
Obs,Spec,1,Turnbull (1990),0.9372413793103448
Obs,Spec,1,Besag-Newell (1991),1
Obs,Spec,1,Kulldorff (1997),0.9882758620689656
Obs,Spec,1.5,Turnbull (1990),0.9379310344827586
Obs,Spec,1.5,Besag-Newell (1991),1
Obs,Spec,1.5,Kulldorff (1997),0.9958620689655172
Obs,Spec,2,Turnbull (1990),0.9379310344827586
Obs,Spec,2,Besag-Newell (1991),0.9993103448275862
Obs,Spec,2,Kulldorff (1997),0.9958620689655172
Adj,Spec,0.5,Turnbull (1990),0.9379310344827586
Adj,Spec,0.5,Besag-Newell (1991),1
Adj,Spec,0.5,Kulldorff (1997),0.9806896551724138
Adj,Spec,1,Turnbull (1990),0.9289655172413793
Adj,Spec,1,Besag-Newell (1991),1
Adj,Spec,1,Kulldorff (1997),0.9737931034482759
Adj,Spec,1.5,Turnbull (1990),0.9282758620689655
Adj,Spec,1.5,Besag-Newell (1991),1
Adj,Spec,1.5,Kulldorff (1997),0.9779310344827586
Adj,Spec,2,Turnbull (1990),0.929655172413793
Adj,Spec,2,Besag-Newell (1991),1
Adj,Spec,2,Kulldorff (1997),0.983448275862069
