Smoothing,Measure,E,Test,value
Obs,Sens,0.5,Turnbull (1990),0.3333333333333333
Obs,Sens,0.5,Besag-Newell (1991),0.035555555555555556
Obs,Sens,0.5,Kulldorff (1997),0.30444444444444446
Obs,Sens,1,Turnbull (1990),0.3333333333333333
Obs,Sens,1,Besag-Newell (1991),0.07111111111111111
Obs,Sens,1,Kulldorff (1997),0.4127777777777778
Obs,Sens,1.5,Turnbull (1990),0.3333333333333333
Obs,Sens,1.5,Besag-Newell (1991),0.12333333333333332
Obs,Sens,1.5,Kulldorff (1997),0.47444444444444445
Obs,Sens,2,Turnbull (1990),0.3333333333333333
Obs,Sens,2,Besag-Newell (1991),0.18
Obs,Sens,2,Kulldorff (1997),0.5338888888888889
Adj,Sens,0.5,Turnbull (1990),0.2833333333333333
Adj,Sens,0.5,Besag-Newell (1991),0.012777777777777777
Adj,Sens,0.5,Kulldorff (1997),0.19777777777777777
Adj,Sens,1,Turnbull (1990),0.325
Adj,Sens,1,Besag-Newell (1991),0.019444444444444445
Adj,Sens,1,Kulldorff (1997),0.2977777777777778
Adj,Sens,1.5,Turnbull (1990),0.32999999999999996
Adj,Sens,1.5,Besag-Newell (1991),0.07611111111111112
Adj,Sens,1.5,Kulldorff (1997),0.35833333333333334
Adj,Sens,2,Turnbull (1990),0.3311111111111111
Adj,Sens,2,Besag-Newell (1991),0.10222222222222221
Adj,Sens,2,Kulldorff (1997),0.4305555555555556
ID,Sens,0.5,Turnbull (1990),0.2811111111111111
ID,Sens,0.5,Besag-Newell (1991),0.021666666666666664
ID,Sens,0.5,Kulldorff (1997),0.20722222222222222
ID,Sens,1,Turnbull (1990),0.3277777777777778
ID,Sens,1,Besag-Newell (1991),0.026666666666666665
ID,Sens,1,Kulldorff (1997),0.3194444444444445
ID,Sens,1.5,Turnbull (1990),0.3327777777777778
ID,Sens,1.5,Besag-Newell (1991),0.09111111111111111
ID,Sens,1.5,Kulldorff (1997),0.36722222222222223
ID,Sens,2,Turnbull (1990),0.3322222222222222
ID,Sens,2,Besag-Newell (1991),0.09999999999999999
ID,Sens,2,Kulldorff (1997),0.43222222222222223
BYM,Sens,0.5,Turnbull (1990),0.32666666666666666
BYM,Sens,0.5,Besag-Newell (1991),0
BYM,Sens,0.5,Kulldorff (1997),0.2638888888888889
BYM,Sens,1,Turnbull (1990),0.3333333333333333
BYM,Sens,1,Besag-Newell (1991),5.555555555555556e-4
BYM,Sens,1,Kulldorff (1997),0.3038888888888889
BYM,Sens,1.5,Turnbull (1990),0.3333333333333333
BYM,Sens,1.5,Besag-Newell (1991),0.011666666666666665
BYM,Sens,1.5,Kulldorff (1997),0.36444444444444446
BYM,Sens,2,Turnbull (1990),0.3333333333333333
BYM,Sens,2,Besag-Newell (1991),0.02
BYM,Sens,2,Kulldorff (1997),0.4716666666666667
Obs,Spec,0.5,Turnbull (1990),0.9997872340425532
Obs,Spec,0.5,Besag-Newell (1991),0.9954609929078014
Obs,Spec,0.5,Kulldorff (1997),0.9990070921985815
Obs,Spec,1,Turnbull (1990),1
Obs,Spec,1,Besag-Newell (1991),0.9975177304964539
Obs,Spec,1,Kulldorff (1997),0.999645390070922
Obs,Spec,1.5,Turnbull (1990),1
Obs,Spec,1.5,Besag-Newell (1991),0.9974468085106383
Obs,Spec,1.5,Kulldorff (1997),0.999645390070922
Obs,Spec,2,Turnbull (1990),1
Obs,Spec,2,Besag-Newell (1991),0.9987234042553191
Obs,Spec,2,Kulldorff (1997),0.9998581560283688
Adj,Spec,0.5,Turnbull (1990),0.9676595744680851
